timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673452650211,520,HomePage,200,OK,tidal_users 1-19,text,true,,110335,115,26,26,https://www.twitch.tv/,417,0,311
1673452650454,282,HomePage,200,OK,tidal_users 1-22,text,true,,110334,115,26,26,https://www.twitch.tv/,198,0,142
1673452650081,700,HomePage,200,OK,tidal_users 1-17,text,true,,110288,115,27,27,https://www.twitch.tv/,566,0,469
1673452650012,826,HomePage,200,OK,tidal_users 1-16,text,true,,110335,115,28,28,https://www.twitch.tv/,617,0,534
1673452650488,355,HomePage,200,OK,tidal_users 1-23,text,true,,110356,115,28,28,https://www.twitch.tv/,209,0,152
1673452649606,1240,HomePage,200,OK,tidal_users 1-10,text,true,,110368,115,28,28,https://www.twitch.tv/,1023,0,917
1673452650527,322,HomePage,200,OK,tidal_users 1-21,text,true,,110370,115,28,28,https://www.twitch.tv/,213,0,142
1673452650500,352,HomePage,200,OK,tidal_users 1-20,text,true,,110295,115,28,28,https://www.twitch.tv/,230,0,170
1673452649813,1039,HomePage,200,OK,tidal_users 1-13,text,true,,110319,115,28,28,https://www.twitch.tv/,813,0,718
1673452649674,1179,HomePage,200,OK,tidal_users 1-11,text,true,,110327,115,28,28,https://www.twitch.tv/,950,0,849
1673452649945,910,HomePage,200,OK,tidal_users 1-15,text,true,,110350,115,28,28,https://www.twitch.tv/,682,0,578
1673452649879,981,HomePage,200,OK,tidal_users 1-14,text,true,,110326,115,28,28,https://www.twitch.tv/,748,0,644
1673452649740,1131,HomePage,200,OK,tidal_users 1-12,text,true,,110303,115,28,28,https://www.twitch.tv/,889,0,790
1673452650166,707,HomePage,200,OK,tidal_users 1-18,text,true,,110356,115,28,28,https://www.twitch.tv/,459,0,356
1673452650559,329,HomePage,200,OK,tidal_users 1-24,text,true,,110311,115,28,28,https://www.twitch.tv/,208,0,142
1673452649327,1560,HomePage,200,OK,tidal_users 1-1,text,true,,110334,115,28,28,https://www.twitch.tv/,1300,0,1194
1673452649328,1563,HomePage,200,OK,tidal_users 1-4,text,true,,110347,115,28,28,https://www.twitch.tv/,1300,0,1195
1673452649327,1573,HomePage,200,OK,tidal_users 1-3,text,true,,110335,115,28,28,https://www.twitch.tv/,1299,0,1195
1673452649539,1363,HomePage,200,OK,tidal_users 1-9,text,true,,110341,115,28,28,https://www.twitch.tv/,1119,0,990
1673452649473,1433,HomePage,200,OK,tidal_users 1-8,text,true,,110358,115,28,28,https://www.twitch.tv/,1186,0,1071
1673452650850,200,browse page,200,OK,tidal_users 1-21,text,true,,109450,124,31,31,https://www.twitch.tv/directory,146,0,0
1673452650873,181,browse page,200,OK,tidal_users 1-12,text,true,,109488,124,31,31,https://www.twitch.tv/directory,127,0,0
1673452650874,180,browse page,200,OK,tidal_users 1-18,text,true,,109465,124,31,31,https://www.twitch.tv/directory,120,0,0
1673452650889,169,browse page,200,OK,tidal_users 1-1,text,true,,109520,124,31,31,https://www.twitch.tv/directory,113,0,0
1673452650892,171,browse page,200,OK,tidal_users 1-4,text,true,,109511,124,31,31,https://www.twitch.tv/directory,118,0,0
1673452650903,169,browse page,200,OK,tidal_users 1-9,text,true,,109504,124,31,31,https://www.twitch.tv/directory,118,0,0
1673452650902,171,browse page,200,OK,tidal_users 1-3,text,true,,109450,124,31,31,https://www.twitch.tv/directory,127,0,0
1673452650907,181,browse page,200,OK,tidal_users 1-8,text,true,,109503,124,31,31,https://www.twitch.tv/directory,129,0,0
1673452650856,233,browse page,200,OK,tidal_users 1-15,text,true,,109450,124,31,31,https://www.twitch.tv/directory,175,0,0
1673452650853,243,browse page,200,OK,tidal_users 1-13,text,true,,109481,124,31,31,https://www.twitch.tv/directory,192,0,0
1673452649407,1692,HomePage,200,OK,tidal_users 1-7,text,true,,110288,115,31,31,https://www.twitch.tv/,1218,0,1115
1673452650891,223,browse page,200,OK,tidal_users 1-24,text,true,,109497,124,32,32,https://www.twitch.tv/directory,123,0,0
1673452650845,284,browse page,200,OK,tidal_users 1-23,text,true,,109496,124,32,32,https://www.twitch.tv/directory,65,0,0
1673452650838,303,browse page,200,OK,tidal_users 1-22,text,true,,109488,124,32,32,https://www.twitch.tv/directory,76,0,0
1673452651055,90,about page,200,OK,tidal_users 1-18,text,true,,65471,126,32,32,https://www.twitch.tv/p/en/about/,57,0,0
1673452650854,342,browse page,200,OK,tidal_users 1-11,text,true,,109495,124,33,33,https://www.twitch.tv/directory,186,0,0
1673452651115,90,about page,200,OK,tidal_users 1-24,text,true,,65471,126,33,33,https://www.twitch.tv/p/en/about/,67,0,0
1673452650764,446,HomePage,200,OK,tidal_users 1-27,text,true,,110311,115,33,33,https://www.twitch.tv/,252,0,136
